ID,Nf1,Nfib,Rasa1,Ube2f,Pten,Gata3,Cul3,Pum1,Ankrd11,Tead1,4930412O13Rik,Eras,Ripk4,Smad3,Ccnd3,Zfr,Map4k5,Flnb,Ankrd28,Dmxl1,Fbxw7,Trps1,Fam135b
214T1,,,,,,,,x,,,,,,,,,,,,,,,
214T2,,,x,,x,,,,,,,,,,x,,,x,,,x,,
219T1,,x,x,,,,,,,,,,,,,,,,,,,,
230T1,,,,,,,,,,,,,,,,,,,,,,,
246T1,,,,,,,,,x,,,,,,,,,,,,,,
249T1,,,,,,,x,x,x,,,,x,x,x,,,,,x,,,
305T1,x,x,,,,,,,,,,,,,,,,,,,,,x
308T1,,x,,,,,x,,,,,,,x,,x,,,x,,,,
309T1,x,x,,,x,,,,x,x,,,x,,,x,,x,,,,,x
309T2,,x,,,,,,,,,,,x,,,x,,,,,,,
311T1,,,x,x,,,,,,,,,,,,,x,,,,x,,
311T2,x,,x,x,,,,,,,,,,,,,x,,,,,x,
317T1,x,,x,,,,,,,,,,,,,,,,,,,,
321T1,x,x,,,,x,,,,x,x,,,,,,,,,,,,
325T1,x,,,x,x,,,,,,,,,,,,,,x,,,,
385T1,x,,x,,,,,,,,,,,,,,,,,,,,
482T1,,,,,,,,x,,,,,,,,,,,,,,x,
534T1,,,x,,,,,,,,,,,,,,,x,,,,,
547T1,,x,,,,,,,,,,,,,,,,,,,,,
552T1,,,,,,,,,,,,,,,,,,,,,,,
556T1,,,,,,,,,,,,,,,,,,,,,,,
558T1,,x,x,,,,,,,,,,,,,,,,,,,,
566T1,x,x,,,,x,,,,x,x,,,,,,,,,,,,
568T1,,x,x,,,,,,,,,,,,,,,,,,,,
568T2,x,,,,,,,,,,,,,x,,,,,,,,,
615T1,x,,,,x,,,,,,,x,,,,,,,,,,,x
621T1,,,,,,,,,,,,,,,,,,,,,,,
621T2,,,,x,,,x,,,,,,,,,,,,x,,x,,
622T2,,,,,,,,,,,,,,,,,,,,,,,
622T3,x,x,x,x,,x,x,,,,,,,,,,,,,,,,
622T4,x,,x,,,,,,,,,,,,,,,,,x,,,
646T1,,,,,,,,,,,,,,,,,,,,,,,
707T1,x,x,,,,x,,,,x,x,,,,,,,,,,,,
712T1,,,,,,,,,,,,,,,,,,,,,,,
8pT1,x,x,,,,,,,,,,,,,,,,,,,,,
G447T9,,x,,,x,,,x,x,,,x,,,,,,,,x,,,
G503T1,x,,,,,,,,,,,x,,x,,,x,,,,,x,
G637T1,,,,,,,,,,,,,,,x,,,,,,,,
